Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Mathematical Structures in Computer Science:  ['Computer Science Applications (Q3)', 'Mathematics (miscellaneous) (Q3)']
Connection Science:  ['Artificial Intelligence (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q3)']
Journal of Systems and Information Technology:  ['Computer Science (miscellaneous) (Q2)', 'Information Systems (Q3)']
Global Journal of Engineering Education:  ['Computer Science (miscellaneous) (Q2)', 'Education (Q3)']
Journal of Information and Communication Technology:  ['Computer Science (miscellaneous) (Q2)', 'Mathematics (miscellaneous) (Q3)']
Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS:  ['Electrical and Electronic Engineering (Q2)', 'Industrial and Manufacturing Engineering (Q2)', 'Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Software (Q3)']
RAIRO - Operations Research:  ['Computer Science Applications (Q3)', 'Management Science and Operations Research (Q3)', 'Theoretical Computer Science (Q3)']
International Journal of Electrical and Computer Engineering:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)']
International Arab Journal of Information Technology:  ['Computer Science (miscellaneous) (Q2)']
Journal of Computer Science and Technology:  ['Hardware and Architecture (Q2)', 'Computational Theory and Mathematics (Q3)', 'Computer Science Applications (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q3)']
Virtual Reality:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q3)']
Dynamical Systems:  ['Computer Science Applications (Q3)', 'Mathematics (miscellaneous) (Q3)']
Transport and Telecommunication:  ['Engineering (miscellaneous) (Q2)', 'Computer Science Applications (Q3)']
Education for Information:  ['Library and Information Sciences (Q2)', 'Education (Q3)', 'Information Systems (Q3)']
Nano Communication Networks:  ['Computer Networks and Communications (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Applied Mathematics (Q3)']
Sustainable Computing: Informatics and Systems:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)']
Displays:  ['Electrical and Electronic Engineering (Q2)', 'Hardware and Architecture (Q2)', 'Human-Computer Interaction (Q3)']
OPSEARCH:  ['Computer Science Applications (Q3)', 'Information Systems (Q3)', 'Management Information Systems (Q3)', 'Management Science and Operations Research (Q3)']
INFOR: Information Systems and Operational Research:  ['Computer Science Applications (Q3)', 'Information Systems (Q3)', 'Signal Processing (Q3)']
Optical Switching and Networking:  ['Computer Networks and Communications (Q2)', 'Electrical and Electronic Engineering (Q2)']
Journal of Mathematical Cryptology:  ['Applied Mathematics (Q3)', 'Computational Mathematics (Q3)', 'Computer Science Applications (Q3)']
Interacting with Computers:  ['Human-Computer Interaction (Q3)', 'Software (Q3)']
Gyroscopy and Navigation:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Control and Systems Engineering (Q3)']
Journal of Proteomics and Bioinformatics:  ['Computer Science Applications (Q3)', 'Biochemistry (Q4)', 'Cell Biology (Q4)', 'Molecular Biology (Q4)']
Computer Aided Surgery:  ['Family Practice (Q2)', 'Computer Science Applications (Q3)', 'Medicine (miscellaneous) (Q3)', 'Radiology, Nuclear Medicine and Imaging (Q3)', 'Surgery (Q3)']
Malaysian Journal of Computer Science:  ['Computer Science (miscellaneous) (Q2)']
Kybernetes:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Engineering (miscellaneous) (Q2)', 'Social Sciences (miscellaneous) (Q2)', 'Artificial Intelligence (Q3)', 'Control and Systems Engineering (Q3)', 'Information Systems (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q3)']
Control Engineering and Applied Informatics:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)']
IET Computer Vision:  ['Computer Vision and Pattern Recognition (Q2)', 'Software (Q3)']
Constraints:  ['Artificial Intelligence (Q3)', 'Computational Theory and Mathematics (Q3)', 'Discrete Mathematics and Combinatorics (Q3)', 'Software (Q3)']
Multimedia Tools and Applications:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)', 'Media Technology (Q2)', 'Software (Q3)']
Case Studies in Mechanical Systems and Signal Processing:  ['Control and Systems Engineering (Q3)', 'Mechanical Engineering (Q3)', 'Signal Processing (Q3)']
International Journal of Computer Games Technology:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q3)']
Electronic Notes in Theoretical Computer Science:  ['Computer Science (miscellaneous) (Q2)', 'Theoretical Computer Science (Q3)']
ACM Transactions on Design Automation of Electronic Systems:  ['Electrical and Electronic Engineering (Q2)', 'Computer Graphics and Computer-Aided Design (Q3)', 'Computer Science Applications (Q3)']
Systems Engineering:  ['Computer Networks and Communications (Q2)', 'Hardware and Architecture (Q2)']
Peer-to-Peer Networking and Applications:  ['Computer Networks and Communications (Q2)', 'Software (Q3)']
Security and Communication Networks:  ['Computer Networks and Communications (Q2)', 'Information Systems (Q3)']
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization:  ['Biomedical Engineering (Q3)', 'Computational Mechanics (Q3)', 'Computer Science Applications (Q3)', 'Radiology, Nuclear Medicine and Imaging (Q3)']
Design Journal:  ['Arts and Humanities (miscellaneous) (Q2)', 'Computer Graphics and Computer-Aided Design (Q3)']
Computability:  ['Artificial Intelligence (Q3)', 'Computational Theory and Mathematics (Q3)', 'Computer Science Applications (Q3)', 'Theoretical Computer Science (Q3)']
International Journal of Distance Education Technologies:  ['Computer Networks and Communications (Q2)', 'Computer Science Applications (Q3)', 'Education (Q3)', 'E-learning (Q3)']
ACM Transactions on Reconfigurable Technology and Systems:  ['Computer Science (miscellaneous) (Q2)']
Concurrency Computation Practice and Experience:  ['Computer Networks and Communications (Q2)', 'Computational Theory and Mathematics (Q3)', 'Computer Science Applications (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q3)']
Intelligent Data Analysis:  ['Artificial Intelligence (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Theoretical Computer Science (Q3)']
ACM Transactions on Applied Perception:  ['Computer Science (miscellaneous) (Q2)', 'Theoretical Computer Science (Q3)', 'Experimental and Cognitive Psychology (Q4)']
Order:  ['Computational Theory and Mathematics (Q3)', 'Algebra and Number Theory (Q4)', 'Geometry and Topology (Q4)']
International Journal of Human Capital and Information Technology Professionals:  ['Computer Science (miscellaneous) (Q2)', 'Management of Technology and Innovation (Q3)']
IT Professional:  ['Computer Science Applications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
Publishing Research Quarterly:  ['Business and International Management (Q2)', 'Media Technology (Q2)', 'Communication (Q3)', 'Computer Science Applications (Q3)', 'Management of Technology and Innovation (Q3)', 'Marketing (Q3)']
Evolutionary Intelligence:  ['Artificial Intelligence (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Mathematics (miscellaneous) (Q3)', 'Cognitive Neuroscience (Q4)']
Distributed and Parallel Databases:  ['Information Systems and Management (Q2)', 'Hardware and Architecture (Q3)', 'Information Systems (Q3)', 'Software (Q3)']
Advances in Modelling and Analysis B: Signals, Information, Data, Patterns:  ['Modeling and Simulation (Q3)', 'Signal Processing (Q3)']
Technology and Health Care:  ['Bioengineering (Q3)', 'Biomedical Engineering (Q3)', 'Biophysics (Q3)', 'Health Informatics (Q3)', 'Information Systems (Q3)', 'Medicine (miscellaneous) (Q3)', 'Biomaterials (Q4)']
Journal of Medical Signals and Sensors:  ['Computer Science (miscellaneous) (Q2)', 'Biomedical Engineering (Q3)', 'Health Informatics (Q3)', 'Radiological and Ultrasound Technology (Q3)', 'Radiology, Nuclear Medicine and Imaging (Q3)']
Journal of Computing and Cultural Heritage:  ['Conservation', 'Computer Graphics and Computer-Aided Design (Q3)', 'Computer Science Applications (Q3)', 'Information Systems (Q3)']
Information Visualization:  ['Computer Vision and Pattern Recognition (Q3)']
Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)']
Optical Memory and Neural Networks (Information Optics):  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q2)', 'Electronic, Optical and Magnetic Materials (Q3)']
IBM Journal of Research and Development:  ['Computer Science (miscellaneous) (Q2)']
International Journal of RF and Microwave Computer-Aided Engineering:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)']
Journal of Control, Automation and Electrical Systems:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Energy Engineering and Power Technology (Q3)']
Jiqiren/Robot:  ['Applied Mathematics (Q3)', 'Artificial Intelligence (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Mechanical Engineering (Q3)', 'Modeling and Simulation (Q3)', 'Software (Q3)']
Journal of Advanced Manufacturing Systems:  ['Industrial and Manufacturing Engineering (Q2)', 'Computer Science Applications (Q3)', 'Strategy and Management (Q3)']
Australasian Journal of Information Systems:  ['Business, Management and Accounting (miscellaneous) (Q3)', 'Human-Computer Interaction (Q3)', 'Information Systems (Q3)', 'Information Systems and Management (Q3)']
Journal of Global Information Technology Management:  ['E-learning (Q3)', 'Information Systems (Q3)', 'Information Systems and Management (Q3)']
IEEE Design and Test:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
Applied Artificial Intelligence:  ['Artificial Intelligence (Q3)']
International Journal of Gaming and Computer-Mediated Simulations:  ['Computer Science Applications (Q3)']
Journal of Technology in Human Services:  ['Computer Networks and Communications (Q3)', 'Health (social science) (Q3)', 'Social Sciences (miscellaneous) (Q3)']
Organised Sound:  ['Music', 'Computer Science Applications (Q3)']
Journal of Computer Virology and Hacking Techniques:  ['Computer Science (miscellaneous) (Q2)', 'Computational Theory and Mathematics (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
Journal of Communications and Networks:  ['Computer Networks and Communications (Q3)', 'Information Systems (Q3)']
Scandinavian Journal of Information Systems:  ['Information Systems (Q3)']
Annals of Library and Information Studies:  ['Library and Information Sciences (Q2)', 'Computer Science Applications (Q3)']
International Journal of Multimedia Information Retrieval:  ['Library and Information Sciences (Q2)', 'Media Technology (Q2)', 'Information Systems (Q3)']
Observatorio:  ['Communication (Q3)', 'Computer Networks and Communications (Q3)']
International Journal of Data Warehousing and Mining:  ['Hardware and Architecture (Q3)', 'Software (Q3)']
Open Access Bioinformatics:  ['Biomedical Engineering (Q3)', 'Computer Science Applications (Q3)']
Journal of Information Processing Systems:  ['Information Systems (Q3)', 'Software (Q3)']
International Journal of Fuzzy System Applications:  ['Computer Science (miscellaneous) (Q2)']
IEEE Electromagnetic Compatibility Magazine:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Instrumentation (Q3)', 'Signal Processing (Q3)', 'Software (Q3)']
South African Computer Journal:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Education (Q3)', 'Human-Computer Interaction (Q3)', 'Information Systems (Q3)']
Journal of Network and Systems Management:  ['Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Information Systems (Q3)', 'Strategy and Management (Q3)']
Natural Language Engineering:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Artificial Intelligence (Q3)', 'Software (Q3)']
Photonic Network Communications:  ['Atomic and Molecular Physics, and Optics (Q3)', 'Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
Cybernetics and Systems Analysis:  ['Computer Science (miscellaneous) (Q2)']
Kinetics and Catalysis:  ['Chemistry (miscellaneous) (Q3)', 'Computer Science Applications (Q3)', 'Modeling and Simulation (Q3)', 'Catalysis (Q4)']
Journal of Experimental and Theoretical Artificial Intelligence:  ['Artificial Intelligence (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q4)']
Electronic Journal of Information Systems in Developing Countries:  ['E-learning (Q3)', 'Information Systems (Q3)']
International Journal of Computer Science in Sport:  ['Computer Science (miscellaneous) (Q2)', 'Biomedical Engineering (Q3)']
Computer Fraud and Security:  ['Computer Science (miscellaneous) (Q2)', 'Law (Q2)']
International Journal of Knowledge Management:  ['Computer Science Applications (Q3)', 'Management Information Systems (Q3)', 'Management of Technology and Innovation (Q3)']
Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software:  ['Computational Mathematics (Q3)', 'Computational Theory and Mathematics (Q3)', 'Modeling and Simulation (Q3)', 'Software (Q3)']
IET Communications:  ['Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)']
Minds and Machines:  ['Philosophy (Q2)', 'Artificial Intelligence (Q3)']
Sovremennye Problemy Distantsionnogo Zondirovaniya Zemli iz Kosmosa:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Computers in Earth Sciences (Q3)']
Wireless Personal Communications:  ['Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)']
Journal of Electronic Resources Librarianship:  ['Library and Information Sciences (Q2)', 'Information Systems (Q3)']
Data Base for Advances in Information Systems:  ['Computer Networks and Communications (Q3)', 'Management Information Systems (Q3)']
Digital Scholarship in the Humanities:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Computer Science Applications (Q3)', 'Information Systems (Q3)']
Journal of Systems Science and Complexity:  ['Computer Science (miscellaneous) (Q2)', 'Information Systems (Q3)']
Biologically Inspired Cognitive Architectures:  ['Artificial Intelligence (Q3)', 'Cognitive Neuroscience (Q4)', 'Experimental and Cognitive Psychology (Q4)']
International Journal of Simulation and Process Modelling:  ['Computer Science Applications (Q3)', 'Modeling and Simulation (Q3)', 'Applied Mathematics (Q4)']
Journal of Machine Engineering:  ['Industrial and Manufacturing Engineering (Q2)', 'Computer Science Applications (Q3)']
Real-Time Systems:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Control and Optimization (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Modeling and Simulation (Q3)']
International Journal of Wavelets, Multiresolution and Information Processing:  ['Information Systems (Q3)', 'Signal Processing (Q3)', 'Applied Mathematics (Q4)']
International Journal of Cooperative Information Systems:  ['Computer Science Applications (Q3)', 'Information Systems (Q3)']
International Journal of Distributed Sensor Networks:  ['Engineering (miscellaneous) (Q2)', 'Computer Networks and Communications (Q3)']
Journal of Systems Architecture:  ['Hardware and Architecture (Q3)', 'Software (Q3)']
Journal of Cellular Automata:  ['Computer Science (miscellaneous) (Q2)', 'Control and Systems Engineering (Q3)']
Journal of Systems Engineering and Electronics:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)']
Journal of Theoretical and Computational Chemistry:  ['Computational Theory and Mathematics (Q3)', 'Computer Science Applications (Q3)', 'Physical and Theoretical Chemistry (Q4)']
IEEE Latin America Transactions:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q3)']
Digital Creativity:  ['Arts and Humanities (miscellaneous) (Q2)', 'Computer Graphics and Computer-Aided Design (Q3)', 'Human-Computer Interaction (Q3)', 'Computational Theory and Mathematics (Q4)']
Computer Systems Science and Engineering:  ['Computer Science (miscellaneous) (Q2)', 'Control and Systems Engineering (Q3)', 'Theoretical Computer Science (Q4)']
Technical Services Quarterly:  ['Library and Information Sciences (Q2)', 'Computer Science Applications (Q3)']
Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Economic Geology (Q3)', 'Modeling and Simulation (Q3)']
International Journal of Web-Based Learning and Teaching Technologies:  ['Computer Science Applications (Q3)', 'Education (Q3)', 'E-learning (Q3)']
Progress in Computational Fluid Dynamics:  ['Computer Science Applications (Q3)', 'Condensed Matter Physics (Q4)']
International Journal of Sensor Networks:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)']
Interdisciplinary sciences, computational life sciences:  ['Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)', 'Computer Science Applications (Q3)', 'Health Informatics (Q3)']
International Journal of Information Systems in the Service Sector:  ['Information Systems (Q3)', 'Information Systems and Management (Q3)', 'Management Information Systems (Q3)', 'Strategy and Management (Q3)', 'Management Science and Operations Research (Q4)']
Interaction Studies:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Animal Science and Zoology (Q3)', 'Communication (Q3)', 'Human-Computer Interaction (Q3)']
International Journal of Imaging and Robotics:  ['Computer Vision and Pattern Recognition (Q3)', 'Human-Computer Interaction (Q3)', 'Signal Processing (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q4)']
Jisuanji Xuebao/Chinese Journal of Computers:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
Canadian Journal of Information and Library Science:  ['Library and Information Sciences (Q2)', 'Information Systems (Q3)']
International Review of Law, Computers and Technology:  ['Computer Science Applications (Q3)', 'Law (Q3)']
ACM Transactions on Accessible Computing:  ['Computer Science Applications (Q3)', 'Human-Computer Interaction (Q3)']
ROBOMECH Journal:  ['Artificial Intelligence (Q3)', 'Instrumentation (Q3)', 'Mechanical Engineering (Q3)', 'Modeling and Simulation (Q3)', 'Control and Optimization (Q4)']
International Journal of Civil Engineering and Technology:  ['Building and Construction (Q3)', 'Ceramics and Composites (Q3)', 'Civil and Structural Engineering (Q3)', 'Computer Networks and Communications (Q3)', 'Control and Systems Engineering (Q3)', 'Metals and Alloys (Q3)']
Journal of Computing Science and Engineering:  ['Engineering (miscellaneous) (Q2)', 'Computer Science Applications (Q3)']
Journal of Electrical Systems:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q3)']
International Journal of Parallel Programming:  ['Information Systems (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q4)']
International Journal of Information Systems and Supply Chain Management:  ['Information Systems (Q3)', 'Management Information Systems (Q3)']
Information Services and Use:  ['Computer Science Applications (Q3)', 'Information Systems (Q3)', 'Library and Information Sciences (Q3)']
Journal of Information, Communication and Ethics in Society:  ['Philosophy (Q2)', 'Communication (Q3)', 'Computer Networks and Communications (Q3)', 'E-learning (Q3)', 'Sociology and Political Science (Q3)']
International Journal of Network Management:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)']
New Generation Computing:  ['Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)', 'Theoretical Computer Science (Q4)']
International Journal on Advanced Science, Engineering and Information Technology:  ['Computer Science (miscellaneous) (Q2)', 'Engineering (miscellaneous) (Q2)', 'Agricultural and Biological Sciences (miscellaneous) (Q3)']
International Journal of Aviation Psychology:  ['Aerospace Engineering (Q3)', 'Computer Science Applications (Q3)', 'Education (Q3)', 'Applied Psychology (Q4)']
AI Communications:  ['Artificial Intelligence (Q3)']
Pattern Recognition and Image Analysis:  ['Computer Graphics and Computer-Aided Design (Q3)', 'Computer Vision and Pattern Recognition (Q3)']
Information Technology and Control:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)']
Microprocessors and Microsystems:  ['Artificial Intelligence (Q3)', 'Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
International Journal of Electronic Business:  ['Business, Management and Accounting (miscellaneous) (Q3)', 'Computer Science Applications (Q3)']
Frontiers of Information Technology and Electronic Engineering:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Signal Processing (Q3)']
Journal of Automation and Information Sciences:  ['Control and Systems Engineering (Q3)', 'Information Systems (Q3)', 'Software (Q3)']
Journal of Electronic Imaging:  ['Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Atomic and Molecular Physics, and Optics (Q4)']
Journal of Imaging Science and Technology:  ['Chemistry (miscellaneous) (Q3)', 'Computer Science Applications (Q3)', 'Atomic and Molecular Physics, and Optics (Q4)', 'Electronic, Optical and Magnetic Materials (Q4)']
Library Collections, Acquisition and Technical Services:  ['Information Systems (Q3)', 'Library and Information Sciences (Q3)']
International Journal of Knowledge-Based and Intelligent Engineering Systems:  ['Artificial Intelligence (Q3)', 'Control and Systems Engineering (Q3)', 'Software (Q3)']
Canadian Journal of Electrical and Computer Engineering:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)']
Language Documentation and Conservation:  ['Linguistics and Language (Q2)', 'Computer Science Applications (Q3)', 'Library and Information Sciences (Q3)']
International Game Theory Review:  ['Computer Science (miscellaneous) (Q2)', 'Business and International Management (Q3)', 'Statistics, Probability and Uncertainty (Q4)']
International Journal for Technology in Mathematics Education:  ['Computer Science Applications (Q3)', 'Education (Q3)', 'Computational Theory and Mathematics (Q4)']
Journal of Advances in Information Fusion:  ['Computer Vision and Pattern Recognition (Q3)', 'Information Systems (Q3)', 'Signal Processing (Q3)']
Literary and Linguistics Computing:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Information Systems (Q3)']
ICT Express:  ['Artificial Intelligence (Q3)', 'Computer Networks and Communications (Q3)', 'Hardware and Architecture (Q3)', 'Information Systems (Q3)', 'Software (Q3)']
Modeling, Identification and Control:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Software (Q3)', 'Modeling and Simulation (Q4)']
IEICE Transactions on Communications:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Software (Q3)']
Journal of Software: Evolution and Process:  ['Software (Q3)']
Journal of Multiple-Valued Logic and Soft Computing:  ['Software (Q3)', 'Logic (Q4)', 'Theoretical Computer Science (Q4)']
International Journal of Wireless and Mobile Computing:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q3)']
International Journal of Information and Decision Sciences:  ['Computer Science Applications (Q3)', 'Information Systems and Management (Q3)', 'Strategy and Management (Q3)', 'Management of Technology and Innovation (Q4)']
Computer Science - Research and Development:  ['Computer Science (miscellaneous) (Q2)']
Scientific and Technical Information Processing:  ['Computer Science (miscellaneous) (Q2)']
Journal of Global Information Management:  ['Business and International Management (Q3)', 'Computer Science Applications (Q3)', 'E-learning (Q3)', 'Information Systems and Management (Q3)', 'Strategy and Management (Q3)', 'Management Science and Operations Research (Q4)']
International Journal of Unconventional Computing:  ['Computer Science (miscellaneous) (Q2)']
Pollack Periodica:  ['Civil and Structural Engineering (Q3)', 'Computer Science Applications (Q3)', 'Materials Science (miscellaneous) (Q3)', 'Software (Q3)', 'Modeling and Simulation (Q4)']
ETRI Journal:  ['Computer Science (miscellaneous) (Q2)', 'Electrical and Electronic Engineering (Q3)', 'Electronic, Optical and Magnetic Materials (Q4)']
International Journal of Computational Biology and Drug Design:  ['Computer Science Applications (Q3)', 'Drug Discovery (Q3)']
Multiagent and Grid Systems:  ['Computer Science (miscellaneous) (Q2)']
Kongzhi yu Juece/Control and Decision:  ['Artificial Intelligence (Q3)', 'Control and Systems Engineering (Q3)', 'Software (Q3)', 'Control and Optimization (Q4)']
International Journal of Technological Learning, Innovation and Development:  ['Computer Science Applications (Q3)', 'Education (Q3)', 'Management of Technology and Innovation (Q4)']
International Journal of Web and Grid Services:  ['Computer Networks and Communications (Q3)', 'Software (Q3)']
Foundations and Trends in Signal Processing:  ['Signal Processing (Q3)']
International Journal of Data Analysis Techniques and Strategies:  ['Information Systems (Q3)', 'Information Systems and Management (Q3)', 'Applied Mathematics (Q4)']
Journal of Computational Methods in Sciences and Engineering:  ['Engineering (miscellaneous) (Q2)', 'Computer Science Applications (Q3)', 'Computational Mathematics (Q4)']
Data Science Journal:  ['Computer Science (miscellaneous) (Q2)', 'Computer Science Applications (Q3)']
International Journal of Technology Enhanced Learning:  ['Computer Science Applications (Q3)', 'Education (Q3)', 'E-learning (Q3)']
Dianji yu Kongzhi Xuebao/Electric Machines and Control:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Energy Engineering and Power Technology (Q3)']
LMS Journal of Computation and Mathematics:  ['Mathematics (miscellaneous) (Q3)', 'Computational Theory and Mathematics (Q4)']
Computer Science and Information Systems:  ['Computer Science (miscellaneous) (Q3)']
Algorithmic Finance:  ['Computer Science Applications (Q3)', 'Computer Vision and Pattern Recognition (Q3)', 'Finance (Q3)', 'Computational Mathematics (Q4)']
Presence: Teleoperators and Virtual Environments:  ['Computer Vision and Pattern Recognition (Q3)', 'Control and Systems Engineering (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q3)']
International Journal of Communication Networks and Information Security:  ['Computer Networks and Communications (Q3)', 'Software (Q3)']
AI and Society:  ['Philosophy (Q2)', 'Artificial Intelligence (Q3)', 'Human-Computer Interaction (Q3)']
Ad-Hoc and Sensor Wireless Networks:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Instrumentation (Q3)']
Journal of Robotics:  ['Computer Science (miscellaneous) (Q3)', 'Control and Systems Engineering (Q3)']
International Journal of Information and Learning Technology:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Education (Q3)']
Computacion y Sistemas:  ['Computer Science (miscellaneous) (Q3)']
Artificial Life and Robotics:  ['Artificial Intelligence (Q3)', 'Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)']
Library Hi Tech News:  ['Information Systems (Q3)', 'Library and Information Sciences (Q3)']
IEEE Annals of the History of Computing:  ['History and Philosophy of Science (Q2)', 'Computer Science (miscellaneous) (Q3)']
Fujitsu Scientific and Technical Journal:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Human-Computer Interaction (Q3)']
International Journal of Arts and Technology:  ['Visual Arts and Performing Arts', 'Computer Science Applications (Q3)']
International Journal of Computer Applications in Technology:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Industrial and Manufacturing Engineering (Q3)', 'Information Systems (Q3)', 'Software (Q3)']
Programming and Computer Software:  ['Software (Q3)']
Mobile Information Systems:  ['Computer Networks and Communications (Q3)', 'Computer Science Applications (Q3)']
Integration, the VLSI Journal:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q3)', 'Software (Q3)']
3D Research:  ['Electrical and Electronic Engineering (Q3)', 'Software (Q3)']
Digital Education Review:  ['Computer Science Applications (Q3)', 'Education (Q3)']
Communication, Culture and Critique:  ['Cultural Studies (Q2)', 'Communication (Q3)', 'Computer Science Applications (Q3)']
Information (Switzerland):  ['Information Systems (Q3)']
Australian Educational Computing:  ['Computer Science Applications (Q3)', 'Education (Q3)', 'E-learning (Q3)']
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering:  ['Computer Science Applications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Applied Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)']
International Journal of Speech Technology:  ['Language and Linguistics (Q2)', 'Linguistics and Language (Q2)', 'Computer Vision and Pattern Recognition (Q3)', 'Human-Computer Interaction (Q3)', 'Software (Q3)']
Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/ Journal of Transportation Systems Engineering and Information Technology:  ['Computer Science Applications (Q3)', 'Control and Systems Engineering (Q3)', 'Transportation (Q3)', 'Modeling and Simulation (Q4)']
